,0,1,2,3,4,5,6,7,8,9
337,24/02/2001,16,25,26,75,78,79,80,56,00
338,28/02/2001,17,33,43,59,77,83,86,12,00
339,03/03/2001,18,05,13,18,40,51,56,82,00
340,07/03/2001,19,32,34,40,45,65,71,89,00
341,10/03/2001,20,18,39,61,68,74,75,22,00
342,14/03/2001,21,28,35,36,62,66,70,67,00
343,17/03/2001,22,08,19,46,49,73,85,72,00
344,21/03/2001,23,39,43,56,61,65,81,28,00
345,24/03/2001,24,02,08,24,36,80,84,79,00
346,28/03/2001,25,11,39,63,64,74,88,28,00
347,31/03/2001,26,12,14,17,32,50,58,13,00
348,04/04/2001,27,02,23,48,57,63,89,11,00
349,07/04/2001,28,05,12,40,61,63,88,31,00
350,11/04/2001,29,11,41,52,71,81,89,38,00
351,14/04/2001,30,10,11,64,74,82,88,33,00
352,18/04/2001,31,10,26,32,41,42,54,31,00
353,21/04/2001,32,02,07,12,31,38,71,63,00
354,26/04/2001,33,04,22,27,45,58,86,55,00
355,28/04/2001,34,02,14,32,43,44,55,12,00
356,02/05/2001,35,02,45,59,70,75,82,26,00
357,05/05/2001,36,09,22,26,67,71,89,36,00
358,09/05/2001,37,07,30,47,76,83,89,11,00
359,12/05/2001,38,03,32,37,42,43,89,57,00
360,16/05/2001,39,13,15,18,49,65,73,67,00
361,19/05/2001,40,06,36,52,68,80,81,87,00
362,23/05/2001,41,08,39,55,56,57,63,45,00
363,26/05/2001,42,05,26,37,43,45,64,54,00
364,30/05/2001,43,11,18,42,44,45,83,07,00
365,04/06/2001,44,36,48,70,77,82,88,37,00
366,06/06/2001,45,07,18,44,48,51,63,73,00
367,09/06/2001,46,04,18,24,29,41,59,40,00
368,13/06/2001,47,58,61,70,78,84,87,83,00
369,16/06/2001,48,07,12,19,21,60,81,04,00
370,20/06/2001,49,25,32,34,54,64,83,56,00
371,23/06/2001,50,04,15,22,34,77,87,81,00
372,27/06/2001,51,16,20,27,31,32,77,14,00
373,30/06/2001,52,22,31,45,68,84,88,54,00
374,04/07/2001,53,13,29,40,61,73,81,04,00
375,07/07/2001,54,10,50,53,78,82,86,90,00
376,11/07/2001,55,07,10,23,33,68,85,30,00
377,14/07/2001,56,01,31,44,59,64,77,53,00
378,18/07/2001,57,04,22,37,43,63,80,46,00
379,21/07/2001,58,03,09,35,65,80,84,26,00
380,25/07/2001,59,39,56,64,75,76,90,53,00
381,28/07/2001,60,27,31,34,47,58,75,62,00
382,01/08/2001,61,05,39,43,53,63,82,33,00
383,04/08/2001,62,05,22,49,63,65,66,76,00
384,08/08/2001,63,01,08,14,27,83,87,05,00
385,11/08/2001,64,21,25,31,44,49,52,61,00
386,16/08/2001,65,07,58,61,62,73,74,79,00
387,18/08/2001,66,06,07,14,53,54,85,03,00
388,22/08/2001,67,10,12,38,57,72,84,11,00
389,25/08/2001,68,01,09,27,36,68,70,85,00
390,29/08/2001,69,05,11,44,57,86,90,39,00
391,01/09/2001,70,10,11,16,45,46,55,31,00
392,05/09/2001,71,08,43,53,69,74,79,75,00
393,08/09/2001,72,12,25,49,53,67,73,37,00
394,12/09/2001,73,03,05,10,32,44,75,49,00
395,15/09/2001,74,02,14,38,53,56,71,48,00
396,19/09/2001,75,10,21,30,45,55,57,64,00
397,22/09/2001,76,22,26,27,28,72,73,01,00
398,26/09/2001,77,14,62,69,70,86,88,09,00
399,29/09/2001,78,03,04,07,55,61,77,75,00
400,03/10/2001,79,14,42,45,49,71,86,72,00
401,06/10/2001,80,03,11,43,50,85,88,45,00
402,10/10/2001,81,14,35,37,52,66,72,12,00
403,13/10/2001,82,13,28,45,58,70,86,60,00
404,17/10/2001,83,18,49,60,64,80,84,79,00
405,20/10/2001,84,16,19,20,30,31,47,83,00
406,24/10/2001,85,12,23,48,70,85,86,78,00
407,27/10/2001,86,25,32,36,46,57,58,73,00
408,31/10/2001,87,05,11,17,21,28,63,50,00
409,03/11/2001,88,07,24,30,59,66,89,74,00
410,07/11/2001,89,08,10,23,35,40,46,09,00
411,10/11/2001,90,01,34,42,50,70,72,11,00
412,14/11/2001,91,03,04,16,36,74,89,40,00
413,17/11/2001,92,01,07,10,23,66,88,18,00
414,21/11/2001,93,14,53,55,65,83,87,74,00
415,24/11/2001,94,06,07,16,51,62,83,36,00
416,28/11/2001,95,21,32,35,40,66,83,50,00
417,01/12/2001,96,32,48,50,55,58,86,04,00
418,05/12/2001,97,14,32,47,48,63,79,46,00
419,10/12/2001,98,05,19,40,51,85,87,88,00
420,12/12/2001,99,04,14,20,61,75,78,56,00
421,15/12/2001,100,01,14,68,70,75,83,89,00
422,19/12/2001,101,19,25,49,53,81,84,64,00
423,22/12/2001,102,03,21,32,48,59,68,18,00
424,27/12/2001,103,20,21,26,53,80,90,04,00
425,29/12/2001,104,24,26,49,53,68,83,29,00
426,31/12/2001,105,41,51,54,63,66,69,35,00
427,02/01/2002,01,23,31,33,39,74,84,45,00
428,05/01/2002,02,50,52,54,76,77,86,64,00
429,09/01/2002,03,15,30,37,52,61,87,10,00
430,12/01/2002,04,12,26,45,75,82,84,33,00
431,16/01/2002,05,03,13,20,35,46,58,71,00
432,19/01/2002,06,15,19,30,46,47,71,72,00
433,23/01/2002,07,12,41,52,55,84,85,45,00
434,26/01/2002,08,25,33,41,51,66,76,28,00
435,30/01/2002,09,03,06,34,49,79,83,32,00
436,02/02/2002,10,21,28,60,68,71,88,89,00
437,06/02/2002,11,29,37,53,62,79,85,51,00
438,09/02/2002,12,09,35,45,77,85,87,72,00
439,13/02/2002,13,14,39,53,55,73,87,03,00
440,16/02/2002,14,06,36,37,59,61,62,38,00
441,20/02/2002,15,01,61,66,70,78,81,85,00
442,23/02/2002,16,14,17,56,59,69,88,13,00
443,27/02/2002,17,29,33,40,47,54,87,27,00
444,02/03/2002,18,19,26,28,45,86,88,79,00
445,06/03/2002,19,05,06,32,61,67,85,35,00
446,09/03/2002,20,44,56,57,76,86,88,19,00
447,13/03/2002,21,20,40,64,68,76,90,59,00
448,16/03/2002,22,05,30,34,50,82,84,28,00
449,20/03/2002,23,15,35,42,45,55,77,43,00
450,23/03/2002,24,01,29,35,38,45,51,86,00
451,27/03/2002,25,03,11,16,38,69,82,17,00
452,30/03/2002,26,30,56,57,73,82,84,41,00
453,03/04/2002,27,15,37,40,47,64,81,49,00
454,06/04/2002,28,19,23,29,44,69,89,60,00
455,10/04/2002,29,02,28,43,57,79,90,15,00
456,13/04/2002,30,18,21,76,79,80,84,57,00
457,17/04/2002,31,24,27,35,43,64,88,08,00
458,20/04/2002,32,19,42,45,51,62,88,18,00
459,24/04/2002,33,27,42,45,62,74,87,02,00
460,27/04/2002,34,21,37,41,45,60,71,23,00
461,02/05/2002,35,07,15,17,26,36,54,10,00
462,04/05/2002,36,01,06,60,61,69,86,03,00
463,08/05/2002,37,25,55,57,67,69,86,02,00
464,11/05/2002,38,10,17,51,54,62,65,81,00
465,15/05/2002,39,23,26,34,35,71,84,53,00
466,18/05/2002,40,13,28,31,58,59,79,45,00
467,22/05/2002,41,12,26,27,42,66,89,41,00
468,25/05/2002,42,40,46,49,62,77,88,02,00
469,29/05/2002,43,21,36,38,72,79,82,25,00
470,01/06/2002,44,38,50,58,80,85,90,84,00
471,05/06/2002,45,04,41,43,51,85,89,64,00
472,08/06/2002,46,01,38,70,75,83,86,52,00
473,12/06/2002,47,37,51,58,62,63,86,78,00
474,15/06/2002,48,08,16,33,64,71,86,90,00
475,19/06/2002,49,22,24,30,58,60,89,26,00
476,22/06/2002,50,16,37,42,46,60,64,11,00
477,26/06/2002,51,09,11,17,38,81,88,46,00
478,29/06/2002,52,01,04,50,66,69,77,42,00
479,03/07/2002,53,14,21,34,37,66,73,74,00
480,06/07/2002,54,03,15,28,76,83,86,56,00
481,10/07/2002,55,19,37,50,73,75,85,61,00
482,13/07/2002,56,21,38,63,70,71,83,07,00
483,17/07/2002,57,17,20,44,57,71,76,14,00
484,20/07/2002,58,11,19,57,63,84,89,35,00
485,24/07/2002,59,05,17,44,62,80,88,69,00
486,27/07/2002,60,11,20,24,31,40,49,88,00
487,31/07/2002,61,08,12,36,62,68,81,51,00
488,03/08/2002,62,23,26,32,52,71,75,35,00
489,07/08/2002,63,07,08,53,72,82,84,22,00
490,10/08/2002,64,16,29,32,40,48,70,38,00
491,14/08/2002,65,05,07,20,25,38,59,63,00
492,17/08/2002,66,15,30,33,35,87,88,90,00
493,21/08/2002,67,17,23,33,44,46,69,07,00
494,24/08/2002,68,08,25,26,38,66,79,49,00
495,28/08/2002,69,01,07,42,49,77,88,46,00
496,31/08/2002,70,21,28,29,36,45,54,05,00
497,04/09/2002,71,10,41,52,53,61,88,89,00
498,07/09/2002,72,16,51,57,64,72,90,63,00
499,11/09/2002,73,16,23,55,83,86,89,09,00
500,14/09/2002,74,20,23,30,44,78,88,56,00
501,18/09/2002,75,11,18,55,77,81,85,58,00
502,21/09/2002,76,01,10,16,51,76,89,49,00
503,25/09/2002,77,23,50,54,56,78,83,65,00
504,28/09/2002,78,34,56,61,62,70,77,59,00
505,02/10/2002,79,14,18,54,63,70,87,74,00
506,05/10/2002,80,09,15,25,40,44,71,84,00
507,09/10/2002,81,21,22,52,59,65,76,40,00
508,12/10/2002,82,01,02,08,12,48,66,28,00
509,16/10/2002,83,10,27,37,57,66,78,09,00
510,19/10/2002,84,10,21,23,35,55,89,53,00
511,23/10/2002,85,40,43,46,57,77,82,47,00
512,26/10/2002,86,27,70,73,84,88,90,04,00
513,30/10/2002,87,13,15,36,78,82,86,67,00
